Provincia;Identificador_Canton;Identificador_Parroquia;Zona;Sector;Numero_vivienda;Numero_hogar;Numero_persona_emigrante;Año_salida;Sexo_emigrante;Edad_salida;pais_actual_residencia;Area_urbana_o_rural;CANTON;PARROQ;ID_VIV;ID_HOG;ID_EMI
"Azuay";1;62;999;46;111;1;1;2021;"Hombre";31;881840;"Area rural";"Cuenca";"Ricaurte";101629990460111;10162999046011101;1016299904601110101
"Azuay";1;62;999;48;10;1;1;2021;"Mujer";20;881840;"Area rural";"Cuenca";"Ricaurte";101629990480010;10162999048001001;1016299904800100101
"Azuay";1;62;999;48;22;1;1;2021;"Hombre";52;881840;"Area rural";"Cuenca";"Ricaurte";101629990480022;10162999048002201;1016299904800220101
"Azuay";1;62;999;48;28;1;1;2021;"Hombre";29;881840;"Area rural";"Cuenca";"Ricaurte";101629990480028;10162999048002801;1016299904800280101
"Azuay";1;62;999;48;37;1;1;2021;"Hombre";37;881840;"Area rural";"Cuenca";"Ricaurte";101629990480037;10162999048003701;1016299904800370101
"Azuay";1;62;999;49;3;1;1;2021;"Mujer";24;881840;"Area rural";"Cuenca";"Ricaurte";101629990490003;10162999049000301;1016299904900030101
"Azuay";1;62;999;49;76;1;1;2021;"Hombre";24;881840;"Area rural";"Cuenca";"Ricaurte";101629990490076;10162999049007601;1016299904900760101
"Azuay";1;62;999;49;86;1;1;2021;"Mujer";44;881840;"Area rural";"Cuenca";"Ricaurte";101629990490086;10162999049008601;1016299904900860101
"Azuay";1;62;999;49;91;1;1;2021;"Mujer";29;881840;"Area rural";"Cuenca";"Ricaurte";101629990490091;10162999049009101;1016299904900910101
"Azuay";1;62;999;50;52;1;1;2021;"Hombre";25;881840;"Area rural";"Cuenca";"Ricaurte";101629990500052;10162999050005201;1016299905000520101
"Azuay";1;62;999;51;5;1;1;2021;"Hombre";33;881840;"Area rural";"Cuenca";"Ricaurte";101629990510005;10162999051000501;1016299905100050101
"Azuay";1;62;999;51;36;1;1;2021;"Hombre";26;881840;"Area rural";"Cuenca";"Ricaurte";101629990510036;10162999051003601;1016299905100360101
"Azuay";1;62;999;52;72;1;1;2021;"Hombre";49;881840;"Area rural";"Cuenca";"Ricaurte";101629990520072;10162999052007201;1016299905200720101
"Azuay";1;62;999;2;20;1;1;2019;"Hombre";34;881840;"Area rural";"Cuenca";"Ricaurte";101629990020020;10162999002002001;1016299900200200101
